Time,CPU_Utilization,Memory_Usage,Transaction_Throughput,Performance
03-01-25,43.7086107,12.82862671,659.9300638,2
3/1/25 1:00,95.56428758,67.27693701,129.9329667,1
3/1/25 2:00,75.87945476,38.2920383,203.5472784,1
3/1/25 3:00,63.87926358,55.7713622,903.6264791,1
3/1/25 4:00,24.04167764,91.68098265,626.1076067,1
3/1/25 5:00,24.03950683,32.43630062,58.73719904,1
3/1/25 6:00,15.2275251,46.93446307,146.3979657,1
3/1/25 7:00,87.95585312,77.99960247,680.3266807,1
3/1/25 8:00,64.10035106,30.59183489,54.80850465,1
3/1/25 9:00,73.726532,16.92819188,202.7676488,1
3/1/25 10:00,11.85260449,36.07763076,571.2970999,1
3/1/25 11:00,97.29188669,24.50991585,707.3004378,1
3/1/25 12:00,84.91983767,93.67278871,669.3631965,1
3/1/25 13:00,29.11051996,82.73083416,263.055844,1
3/1/25 14:00,26.36424705,67.00633809,726.5702603,1
3/1/25 15:00,26.50640589,88.43145312,275.3866331,1
3/1/25 16:00,37.38180187,82.33048692,359.1297133,1
3/1/25 17:00,57.22807885,26.7913053,759.1668349,1
3/1/25 18:00,48.87505168,90.33030986,667.1512541,1
3/1/25 19:00,36.21062262,58.54080177,856.76224,1
3/1/25 20:00,65.06676053,82.66961396,674.7322477,1
3/1/25 21:00,22.55444746,90.64821699,589.8931732,1
3/1/25 22:00,36.29301837,38.62031275,138.9910294,1
3/1/25 23:00,42.9725659,19.90467321,399.3300129,1
03-02-25,51.04629858,30.51416463,301.9422493,1
3/2/25 1:00,80.66583653,48.43970098,281.7901612,1
3/2/25 2:00,27.97064039,83.62132893,974.360027,1
3/2/25 3:00,56.28109946,87.46575249,423.4428384,1
3/2/25 4:00,63.3173112,10.62569175,897.4442274,1
3/2/25 5:00,14.18053714,55.96725723,649.5816947,1
3/2/25 6:00,64.67903667,47.56699028,805.0707384,1
3/2/25 7:00,25.34717113,29.98970294,527.5052384,1
3/2/25 8:00,15.85464337,20.78788306,598.0586904,1
3/2/25 9:00,95.39969835,40.38536543,517.8918091,1
3/2/25 10:00,96.90688298,94.86187335,235.4808384,0
3/2/25 11:00,82.75576133,39.08826388,736.3295095,1
3/2/25 12:00,37.41523923,56.69115596,316.7337443,1
3/2/25 13:00,18.79049026,73.2717063,73.10016811,1
3/2/25 14:00,71.58097239,42.72666421,663.1986811,1
3/2/25 15:00,49.61372444,97.46038744,218.2551454,1
3/2/25 16:00,20.98344114,96.62025654,943.4356551,1
3/2/25 17:00,54.56592191,32.66040662,956.2321482,1
3/2/25 18:00,13.0949669,54.75236553,919.1211707,1
